"","year","accomplishment","person","gender","category","decade"
"1",1670,"First African-American to own land in Boston","Zipporah Potter Atkins[citation needed]","African-American Firsts","Social & Jobs",1670
"2",1738,"First free African-American community","Gracia Real de Santa Teresa de Mose (later named Fort Mose) in Spanish Florida[citation needed]","African-American Firsts","Social & Jobs",1730
"3",1746,"First known African-American (and slave) to compose a work of literature","Lucy Terry with her poem Bars Fight, composed in 1746[4] and first published in 1855 in Josiah Holland's History of Western Massachusetts[5][4]","African-American Firsts","Social & Jobs",1740
"4",1760,"First known African-American published author","Jupiter Hammon (poem An Evening Thought","Female African American Firsts","Arts & Entertainment",1760
"5",1767,"First African-American clockmaker, Peter Hill, was born.[7]",NA,"African-American Firsts",NA,1760
"6",1768,"First known African-American to be elected to public office","Wentworth Cheswell, town constable in Newmarket, New Hampshire.[8]","African-American Firsts","Social & Jobs",1760
"7",1773,"First known African-American woman to publish a book","Phillis Wheatley (Poems on Various Subjects, Religious and Moral)[9]","Female African American Firsts","Arts & Entertainment",1770
"8",1773,"First separate African-American church","Silver Bluff Baptist Church, Aiken County, South Carolina[10][11][Note 1]","African-American Firsts","Religion",1770
"9",1775,"First African-American to join the Freemasons","Prince Hall[citation needed]","African-American Firsts","Social & Jobs",1770
"10",1778,"First African-American U.S. military regiment","the 1st Rhode Island Regiment[12]","African-American Firsts","Military",1770
"11",1783,"First African-American to formally practice medicine","James Derham, who did not hold an M.D. degree.[13] (See also","African-American Firsts","Education & Science",1780
"12",1785,"First African-American ordained as a Christian minister in the United States","Rev. Lemuel Haynes. He was ordained in the Congregational Church, which became the United Church of Christ[14]","African-American Firsts","Religion",1780
"13",1792,"First major African-American Back-to-Africa movement","3,000 Black Loyalist slaves,  who had escaped to British lines during the American Revolutionary War for the promise of freedom, were relocated to Nova Scotia and given land. Later, 1,200 chose to migrate to West Africa and settle in the new British colony of Settler Town, which is present-day Sierra Leone.[citation needed]","African-American Firsts","Social & Jobs",1790
"14",1793,"First African Methodist Episcopal (AME) Church founded","Mother Bethel A.M.E. Church, Philadelphia, Pennsylvania was founded by Richard Allen[citation needed]","African-American Firsts","Religion",1790
"15",1794,"First African Episcopal Church established","Absalom Jones founded African Episcopal Church of St. Thomas, Philadelphia, Pennsylvania[citation needed]","Female African American Firsts","Religion",1790
"16",1804,"First African-American ordained as an Episcopal priest","Absalom Jones in Philadelphia, Pennsylvania[15]","African-American Firsts","Religion",1800
"17",1807,"First African-American Presbyterian Church in America","First African Presbyterian Church founded in Philadelphia, Pennsylvania by John Gloucester a former slave.[16]","African-American Firsts","Religion",1800
"18",1816,"First fully independent African-American denomination","African Methodist Episcopal Church (AME), based in Philadelphia, Pennsylvania and mid-Atlantic states[citation needed]","African-American Firsts","Religion",1810
"19",1821,"First African-American to hold a patent","Thomas L. Jennings, for a dry-cleaning process[17]","African-American Firsts","Education & Science",1820
"20",1822,"First African-American captain to sail a whaleship with an all-black crew","Absalom Boston[18]","African-American Firsts","Military",1820
"21",1823,"First African-American to receive a degree from an American college","Alexander Twilight, Middlebury College[19] (See also","African-American Firsts","Education & Science",1820
"22",1827,"First African-American owned-and-operated newspaper","Freedom's Journal, founded in New York City by Rev. Peter Williams Jr. and other free blacks.[citation needed]","African-American Firsts","Arts & Entertainment",1820
"23",1832,"First governor of African descent in what is now the US","Pío Pico, an Afro-Mexican, was the last governor of Alta California before it was ceded to the US. Like all Californios, Pico automatically became a US citizen in 1848.[citation needed]","African-American Firsts","Politics",1830
"24",1836,"First African-American elected to serve in a state legislature","Alexander Twilight, Vermont[19] (See also","African-American Firsts","Military",1830
"25",1836,"First African-American to found a town and establish a planned community","Free Frank McWorter (New Philadelphia, Illinois)[20][21]","African-American Firsts","Social & Jobs",1830
"26",1837,"First formally trained African-American medical doctor","Dr James McCune Smith of New York City, who was educated at the University of Glasgow, Scotland, and returned to practice in New York.[22] (See also","African-American Firsts","Education & Science",1830
"27",1845,"First African-American licensed to practice law","Macon Allen from the Boston bar[23]","African-American Firsts","Law",1840
"28",1847,"First African-American to graduate from a U.S. medical school","Dr. David J. Peck[24] (Rush Medical College) (See also","African-American Firsts","Education & Science",1840
"29",1847,"First African-American president of any nation","Joseph Jenkins Roberts, Liberia[25]","African-American Firsts","Politics",1840
"30",1849,"First African-American college professor at a predominantly white institution","Charles L. Reason, New York Central College[26]","African-American Firsts","Education & Science",1840
"31",1851,"First African-American member of the Society of Jesus (Jesuits)","Patrick Francis Healy[27] (See also","African-American Firsts","Religion",1850
"32",1853,"First novel published by an African-American","Clotel; or, The President's Daughter, by William Wells Brown, then living in London.[Note 2][28][29]","Female African American Firsts","Arts & Entertainment",1850
"33",1854,"First African-American Catholic priest","James Augustine Healy[30] (see 1875 and 1886)","African-American Firsts","Religion",1850
"34",1854,"First institute of higher learning created to educate African-Americans","Ashmun Institute in Pennsylvania, renamed Lincoln University in 1866. (See also firsts in 1863)","Female African American Firsts","Education & Science",1850
"35",1858,"First published play by an African-American","The Escape; or, A Leap for Freedom by William Wells Brown[31]","Female African American Firsts","Arts & Entertainment",1850
